Title,Price,URL
"Acer ChromeBook 11.6 inch (32GB, Intel Celeron N, 2.48GHz, 4GB) Notebook/Laptop",$35.00,https://www.ebay.com/itm/406991376733?_skw=laptop&epid=21023626313&itmmeta=01KZ4544WNP61QYJ9WPRYGGQV9&hash=item5ec293915d:g:kekAAeSwUjZqKdPs&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xBpQMQ7d--EX7evAS9SDELFO0tO1PdPHNyLm1PGc%2BwSuHMDbtVY3b2y7Yg1L8uEOr4Nx3--UZhAPgjf34yvHibH4AcsDJB2LqnCs3pJQr03XVcniObXW6lRjpJgFTA1H6WfdDM67wo3PTmyrOICkNdTdAoo6XFL3lw1LKV%2B9Zb4dh3zYonFPKSUEODhwhDy6a52u5z7Tt9Gz3zKClqsg3Z%2F1nvOOTwwh908A83PsbRzNg%3D%3D%7Ctkp%3ABlBMUPbOkIX5Zw
"NEW HP Laptop Computer 15.6"" Quad-Core Intel Pentium Up to 32GB RAM 1TB SSD Pro",$379.00,https://www.ebay.com/itm/127755433900?_skw=laptop&itmmeta=01KZ4544WNJ0F7Y9DGEKF2R1YF&hash=item1dbed137ac:g:b9AAAOSw3JBn1E2t&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xCCd2Qbel1wPPekwMoVsh4%2FCdwIH%2BISbLn1KPHf%2F3%2F7ZdCUyO3Hq0hk4NdF61jBjreYWX8CMSSHIjygntWp%2B52Q2DkfnpZeDLpPCLloThtnN8uoTbWLLh80ylR6EeO6lsCa6qAIvK6KhjC9IsGn7e1LvhrGUdDFoQxX%2FhDBhEYR8Hgt3yflZToRCZuBjbSIh8uSWSBdPHDchSBgZKnata8QN1i3PSrJfikU8Uxpr68rMg%3D%3D%7Ctkp%3ABlBMUPbOkIX5Zw
"Dell Latitude 14"" Laptop Computer Intel i7 Up To 32GB RAM 1TB SSD Windows 11 Pro",$334.03,https://www.ebay.com/itm/286865561827?_skw=laptop&itmmeta=01KZ4544WNQ29Y66KK7MD94FZZ&hash=item42ca8518e3:g:fhcAAeSwcE5p163t&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xAn0eJp96D%2FNa%2Fs9lPsfS3WAk%2BoVYK6qz%2BRp2ODy3f8fjjlclNCpxlppTUs25pLD8LYQmMPOm%2FHqdsxGjlsl7yYdaTw7wrVdDb%2BHEBrWzvcE3H1DLT9stz2Fh8NpNqCXfWXlJfn5dA5t4Xzrz6oNs1%2BY84YV8lxMKE3CfyDIa66IoUp9FuYmIju03NdU3wAlWSy6dTcXc540DBHLIgKOAqbQZtMOBE%2F33QsI1PgFH%2FQZQ%3D%3D%7Ctkp%3ABlBMUPbOkIX5Zw
Dell Latitude 5430 Laptop Computer PC Intel i5 Up To 32GB RAM 1TB SSD Windows 11,$263.73,https://www.ebay.com/itm/286393092388?_skw=laptop&itmmeta=01KZ4544WNBKJA9WJCHFD7SSFB&hash=item42ae5bc924:g:0DgAAeSw9G5p5kZ6&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xAYp79mZk36luKcCQwI1nCH8Lb8pHZubNCxuM1OXluKc4Xcibq7RblwCu546Vci3HC7ukRQ5DODZ9SrCo1%2BOwI2PmNBXDPey7gPsY6ojkkhzFAbntIrxljglivbCmkw4pJaF6%2BgrLETPCso%2BUqgs3DekSVVWs0JDiXEy6UZIBgXje%2Bmw%2Bt--x%2FwXDJNoZaQhh5L8Ecc1bkHQJdGcuC0w2%2BsMqzNPC%2Fb%2F0ovhkdq7B4rAg%3D%3D%7Ctkp%3ABlBMUPbOkIX5Zw
HP Laptop i5 8th–12th Gen | 16GB – 64GB RAM | 128GB–2TB SSD | Windows 11 | WiFi,$229.20,https://www.ebay.com/itm/115777670869?_skw=laptop&itmmeta=01KZ4544WP6H8TCSX4TZY23JTT&hash=item1af4e30ed5:g:jFYAAeSwZPJp3ClG&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDfvYTLEVz1kVhjvZErTc7AaTkA%2BXn0fvUzSYkby0HfmUXh6LFa7KRbQYLPt7KRWicvBaLFGZSrjvNnOejaNNgzjfvyjcnH92jnuUr6qi%2BaKgkQSpT%2FXUWGyAJ4U55Y5ZeCAtUpVZJZACGIwGsIbeOmJmg2axXUlMqWbZYjM7H%2F3zsShU7C6hSGP8IffFpUmj4Kg6t6dA9Kn8gs2fu5sMweILE5wA%2BPa2rX%2Bge2wxOJVa2HO5oGTFigrnD7dksqLowjb5toOzlc5V6kfpEHEWJl%7Ctkp%3ABk9SR_bOkIX5Zw
"Lenovo-Thinkpad-L13-13.3"" -intel Core i3-10110UU 2.10GHz, 8GB-128-SSD-Win-11-Pro",$87.63,https://www.ebay.com/itm/377352544177?_skw=laptop&itmmeta=01KZ4544WPM1JWK3Y8YCNW58H9&hash=item57dbf6dfb1:g:VB0AAeSwDB5qW8TW&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xBrJ%2BFa%2Bf5Psnxuc3FQE%2BJso7E65xPGe%2FeTQMrhsN9iTJ%2ByfY4ID8VbGNG%2F6h19wkCrS8b7npcdfTJ3cPq16YmWG%2FsqWbNFTNN4o5r7csJduFA%2F3Wp0c09GMEPOzLUDLdWCKby5Yxp5Gv71ARdPaMkNq2Pq6gN893OUt1bYpdvE2LosxfamyC1KV8KL%2FYyPWC85uFUuRRl8D1g8bil6OoQ%2BBdrblO3xemsugXNjTqYyyw%3D%3D%7Ctkp%3ABk9SR_jOkIX5Zw
Panasonic Let's Note CF-SX2 Intel Core i5 SSD 128GB GB 8GB Used w/AC From JP,$119.00,https://www.ebay.com/itm/358519502389?_skw=laptop&itmmeta=01KZ4544WP2FQG4SXFDMGGJHVA&hash=item53796d7635:g:Ls8AAeSwbyJqKzvm&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xAkCS4jIjfaZ5MKqHZDmzsXZKrdiufVITnOsb%2F6r8kpSqTDgomj4AAAw72ABSKyLisFuDxz0jzBusv5yOUtRIZOVonJUP4DVKmxzP3dpmvmqbT6VGXOfX538IVFURJ%2FDPhRb7%2BjcK%2BHq%2BOhPB2515cmGkquj5Ps4BCvOtjByrcLd3anYi1tIGygkmp2tQbGx1ZLuUNeGbohIrdInZTtip8lwDDqo9TgSERxuy1fjDMurf%2BLbEEAML9DoRBJfsi0HAWRsU386H05oaybRZb43nre%7Ctkp%3ABk9SR_jOkIX5Zw
Panasonic Let's Note CF-SV9 i5 10310U RAM 16GB SSD 240GB Win11pro Used w/AC,$240.00,https://www.ebay.com/itm/358548245513?_skw=laptop&itmmeta=01KZ4544WPX14BNSA18GS3Y19K&hash=item537b240c09:g:xQgAAeSw2rlp5q43&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xBoFdi34v3fp0gU%2B0EOHuUvDDhVuSMo9CLElI5Y6Dw3K7YVMZT9DLDTO0hsnrqW9qS%2BzEA%2F7rO5xXzOu%2Fn%2Fk9sz6ivJzbuqV2eEHotWK7SxfGzi5BPg4kaswAa%2FG9XfM%2BVCcLMPHeEbYhJO45%2F7%2BUssXuis8gnlgtf6ouDPArAtqTiwVgPhinUwNwwEQjOGhdjXdbj5Y%2FiL70eiMGrPVedKcv0xclnW6LylarrClXFojg%3D%3D%7Ctkp%3ABk9SR_jOkIX5Zw
"Lenovo ThinkPad T580 15,6"" i5 8GB RAM 256GB SSD - Sehr Gut",$261.65,https://www.ebay.com/itm/235809604600?_skw=laptop&itmmeta=01KZ4544Z248TBA1GX0GEFFTA6&hash=item36e75903f8:g:rfMAAOSwvz5nDkUs&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDvO9QjmkjToq%2F3WFdAcu8FQvJx6WPObA6IJUQ12NqpXFTxIzx%2BAZEF0INTkuUI572AeVfxX3lhI8OUxjkfFEG7ksYRlRxkkT4KZPsME8AqtbZpVTkat3JUm927bl%2BR0QwiXFDfGoWdehT8n0Vpt0tVcEnMdSB6gnIoT%2Bqx%2BzJ979eM0Hkwg2PdeYuAEs9UFgasNM4UFw3ZxSkJhk47CeKSlkz22aJgsg%2BiiaFJraq8tkjahbwIhQor6XRmVModN9xmgHfnGJVXLdSNOzo1niBA%7Ctkp%3ABFBM_s-Qhfln
"CHUWI HeroBook 14.1"" Windows 11 Laptop Intel N4020 6/8GB RAM 128/256GB SSD",$199.99,https://www.ebay.com/itm/336689703289?_skw=laptop&itmmeta=01KZ4544Z2D291V6MAGA3E5RZM&hash=item4e64452979:g:fyMAAeSwp~hqUJ-1&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xB1mfJRn8HuZSHE0CY7y6b1GZitG0E2nBz3XwHxZ%2FXnMasNP8k%2FRwe4CCKJDoCIVFe%2FLGikSmjyrguv5u4vKojGj2QEswvVuTMwMtHUc%2FkpfQsL%2BEPMrgwzgWuBAQ9k4EQo2Wcrch86rbsmW10ikNEVNKyRs5wVeZ4OAoVfJSsxsXiki0rIT%2BFts7Q46fQSDeQDImrJdY2YW9ZBzGkvnG0n1ctX4Zr%2FFWUmxLZo5RRSJ1fS%2FhydTss3e3vThJHmD8XtdP9JNYmvNhMlBEm8jMnJ%7Ctkp%3ABFBM_s-Qhfln
